id,job industry,title,company,location,type,description
118,Human Resource and Recr...,Human Resource and Admin Coordinator,(RIDE) Hybrid Designs PLC,Addis Ababa,Office,"About the ProgramThe Mastercard Foundation in partnership with Hybrid Designs and its consortium partners- Icog any one can code, R&amp; D Group and Qua Qua Capitals as well as D &amp; T Ethiopia Management Consulting PLC are launching a five- year program entitled ‘Entrepreneurship in the Digital and Gig Economy (EDGE)’ with the aim of unlocking over 300,000 dignified and fulfilling employment opportunities for economically disadvantaged young people across Ethiopia through an innovative digitally enabled and m..."
120,Engineering,Construction Officer – UNHCR Project,Plan International Ethiopia,Amhara,Hybrid,"The OpportunityThe post holder will responsible for preparing effective activity and budget planning, M&amp;E framing, implementation, monitoring and evaluation of the UNHCR Funded Project Construction activities in collaboration with relevant district government offices and target communities at their respective districts and villages. She/he ensures integration as well as smooth teamwork within Plan and across government sectors in the districts.Key components of the position include also establishing a system..."
121,Health Care,Midwife,Samaritan's Purse,Tigray,Remote,"Job SummaryThe Midwife will assist medical staff in the care and treatment of patients in the Samaritan’s Purse MMU Program in Tigray.The Midwife will be responsible for maintaining a high standard of care as they help treat patients. The workload is intensive and requires a team of dedicated health professionals to meet the ever- increasing demand for specialized medical care in the affected Region. Therefore, the Medical Midwife will support the MMU as well as provide support to recovering Health Centers, as n..."
122,Sales and Marketing,Public Relations Specialist,Dema Hope Trading PLC,Addis Ababa,Office,"Position:PublicRelationsSpecialistReports To: Marketing ManagerLevel: Mid-LevelJobType:Full-TimeJob Summary:We are seeking PR expert with deep understanding of the real estate industry, a passion for storytelling and excellent communication skills. This role will be responsible for managing our public image, enhancing brand awareness, and fostering relationships with media and the community.Responsibilities:DevelopandimplementPRstrategiestopromotethecompany'sprojectsand initiatives.Writeanddistributepressrelease..."
125,Management,Documentation/Archive Officer,Dema Hope Trading PLC,Addis Ababa,Office,"Position:Documentation/Archive OfficerLevel: Mid-LevelJobType:Full-TimeJob Summary:We are looking for an organized and detail oriented Documentation/Archive Officer to manage and maintain the company’s documentation and records. The role will be responsible for the systematic organization, preservation, and retrieval of records.Responsibilities:Organizeandmaintainphysical anddigital archivesofthecompany'sdocumentsDevelopandimplementarchivingprocedurestoensureefficientrecord management.Ensurecompliancewithlegalan..."
127,Social Sciences and Com...,FSL PROGRAM MANAGER,Save the Children,Afar,Office,"TEAM/PROGRAMME: FSL/RLOCATION: Afar/SemeraGRADE: 2BPOST TYPE: NATIONALCHILD SAFEGUARDING:Level 3: the role holder will have contact with children and/or young people either frequently(e.g. once a week or more) or intensively (e.g. four days in one month or more) because he/she works at the community level. The role holder should be well acquainted with and act towards ensuring the organization’s Child Safeguarding Policy inclusive of awareness creation for prevention, reporting, and responding.Scope of RoleRepor..."
128,Social Sciences and Com...,Senior Business Development Manager,International Rescue Committee - IRC,Addis Ababa,Office,"Background of IRC:The International Rescue Committee (IRC) responds to the world’s worst humanitarian crises and helps people whose lives and livelihoods are shattered by conflict and disaster to survive, recover, and gain control of their lives. The IRC works with people forced to flee from war, conflict and disaster and the host communities which support them, as well as those who remain within their homes and communities. We began work in Ethiopia since 2000 and currently implementing emergency and developmen..."
130,"Logistics, Transport an...",Logistics Officer (Readvertised),Kerchanshe Equipment,Addis Ababa,Office,"Job SummaryThe Logistics and Import Officer is responsible for processing bank permits and managing the opening and settlement of payments (TT, LC, CAD). Key duties include handling single window entries, reviewing and verifying Letters of Credit (LCs), and applying knowledge of logistics administration, warehouse administration, and similar roles.Primary Job RolesTracking parts &amp; prime products movement and lead time from ordering to receivingExport &amp; Inter territory transfer logistics managementData en..."
131,"IT, Computer Science an...",IT Manager,Get-As International PLC,Addis Ababa,Office,"Get-As International Plc. is a dynamic organization engaged in Real estate, Trading and Cross border transport. We are seeking a motivatedIT Managerto join our dynamic team.Job Summary:We are seeking an experienced and proactive IT Manager to lead our technology infrastructure and support operations. The ideal candidate will oversee the daily operations of the IT department, manage IT staff, ensure systems and networks run efficiently and securely, and support the technology needs of the organization.Key Respons..."
134,Business and Administra...,Supply Chain and Admin Manager,Plan International Ethiopia,Addis Ababa,Office,"The OpportunityThe position holder will be responsible for ensuring operational efficiency and effectiveness in the supply chain and administration domains while maintaining compliance with organizational and donor policies. The role involves supporting and initiating, systems optimization, compliance monitoring, data management, and performance analysis through KPIs. The manager will oversee fleet &amp; transport management, asset control, warehousing, liaising &amp; customs clearance, and administration while ..."
135,Accounting and Finance,Senior Accountant,Crush Business PLC,Addis Ababa,Office,"Senior AccountantWe hereby invite qualified and experienced candidates to apply for the following position. Only shortlisted applicants will be contacted.Position: Senior AccountantKey ResponsibilitiesThe Senior Accountant will be responsible for managing and executing daily, monthly, and annual financial transactions and tasks. Specific responsibilities include:Monitoring and managing bank transactions, including payments, transfers, receivables, and payables;Reconciling account balances and bank statements, ma..."
136,Sales and Marketing,Digital Marketing Officer,Robit International Business Group PLC,Addis Ababa,Office,"Company OverviewRobit International Business Group PLC is a well-established and diversified business group in Ethiopia, operating for over two decades in sectors including furniture and plywood production, hospitality, real estate, IT import and distribution, and agriculture. As part of our ongoing commitment to innovation and digital transformation, we are seeking qualified and competent candidates to join our dynamic team at head office and support our group-wide digital marketing efforts:Job DescriptionDevel..."
137,Health Care,HP Supervisor,Medecins Sans Frontieres-Belgium (MSF-Belgium),South West Ethiopia People's Region,Hybrid,"The main purposeof thePositionWith the support and guidance of the HPCE Manager, responsible for implementing the HPCE strategy / workplan, with community participation, and supervising the HPCE activities and HP teams working in the communities or the health facilities, according to the project objectives, MSF values, standards and procedures.AccountabilitiesHPCE strategy, activities and monitoring:Actively contribute to the design/adaptation of the HPCE strategy / workplan.Lead and follow up on the implementat..."
138,Accounting and Finance,Project Accountant (Re-Advertised),The Lutheran World Federation World Service - Ethiopia,Amhara,Office,"About Lutheran World Federation (LWF)We are a global communion of churches in the Lutheran tradition, living and working together for a just, peaceful, and reconciled world. LWF World Service is the humanitarian and development arm of the Lutheran World Federation. We are a widely recognized, international, faith-based organization working in over 20 countries. We seek to bring people of all backgrounds together in the common quest for justice, peace, and reconciliation in an increasingly complex and fragmented ..."
139,Water and Sanitation,WASH Coordinator  (Re-advertised),The Lutheran World Federation World Service - Ethiopia,Amhara,Office,"About the Lutheran World Federation (LWF)We are a global communion of churches in the Lutheran tradition, living and working together for a just, peaceful, and reconciled world. LWF World Service is the humanitarian and development arm of the Lutheran World Federation. We are a widely recognized, international, faith-based organization working in over 20 countries. We seek to bring people of all backgrounds together in the common quest for justice, peace, and reconciliation in an increasingly complex and fragmen..."
140,"Logistics, Transport an...",Logistics Head (Hawassa),BGI Ethiopia,South West Ethiopia People's Region,Office,"1. Job SummaryLogistics Head, primary responsibility is to oversee and manage the logistical operations of an organization. And responsible for coordinating and executing the movement, storage, and distribution of goods and materials in an efficient and cost-effective manner. role will involve strategic planning, process optimization, team management, and ensuring compliance with industry regulations.2. Main Duties and ResponsibilitiesDevelop and implement a comprehensive logistics strategy aligned with the comp..."
141,Engineering,Production Operator,BGI Ethiopia,Oromia,Office,"1. Job SummaryAssist safe operation and maintenance of machinery and production lines in the assigned process lines by configuring the equipment, loading and operating the machines and reducing down-time so as to produce products that continuously meet the quality standards and quantity targets as per the schedule set.2. Main Duties and ResponsibilitiesAdhering to Good Manufacturing Practices (GMPs).Completing daily and weekly tasks using Standard Operating Procedures (SOP’s) to ensure quality and repeatable res..."
142,Education,Educational Technical Assistant,Path Ministries International,Oromia,Office,"Job Title: Educational Technical AssistantReports to: Program Manager / Project CoordinatorDepartment: Programs and OperationsPosition Overview:The Educational Technical Assistant is responsible for enhancing the educational growth of student beneficiaries and supporting the learning initiatives of guardians. This includes overseeing tutorial programs, curriculum development, and teacher training. The role also involves monitoring student academic progress, facilitating adult education programs, and working clos..."
143,Legal,Senior Investigation and Enforcement Officer I,Ethiopian Capital Market Authority,Addis Ababa,Office,"Statement of the PurposeThe position holder will be responsible for conducting investigations into alleged regulatory violations, assisting in developing enforcement strategies, and working closely with other team members to ensure compliance with capital market regulations.Specific Duties and Responsibilities:Conduct thorough investigations into suspected violations, including data gathering, analysis, and report preparation.Interview witnesses, gather testimonies, and collaborate with external parties as neces..."
144,Health Care,Senior Special Advisor for MASReP- Project,Ministry of Health-Ethiopia,Addis Ababa,Office,"The Ministry of Health would like to invite competent and interested applicants for the following position.Duty sation; Seqota Declaration Federal Program Delivery Unit (FPDU), Nutrition Coordination Lead Executive Office, MoHThe assignment will be for a period of 12 months’ contract with the possibility of extension subject to performance up to the project period.89782.00 (Eighty-nine thousand seven hundred eighty-two) ETBBackgroundMulti sectoral for Approach Stunting Reduction Project (MASReP) is a nutrition p..."
145,Technology,Water Treatment Technician,ADCO Management PLC,Addis Ababa,Office,"Position Title: Water Treatment TechnicianDepartment:MaintenanceReport To: Facility Maintenance SupervisorVacancy No.: ENG/001/2025About Us:ADCO Management PLC is looking to hire a Water Treatment Technician for a subsidiary project its operating MINAB Wellness Club, a flagship wellness project delivering exceptional spa, fitness, and holistic health services. MINAB is a sanctuary of rejuvenation and beauty, offering personalized treatments, state-of-the-art facilities, and a serene environment designed to refre..."
146,Natural Sciences,Driver,ROEN MANUFACTURING PLC,Addis Ababa,Remote,"Job ResponsibilitiesThe Driver will be responsible for ensuring the safe and efficient transportation of goods, employees, and company materials. Key responsibilities include:Transportation of Goods and Staff: Safely drive company vehicles to transport goods, materials, and staff to various locations as required.Vehicle Maintenance: Ensure the company vehicle is well-maintained and clean at all times, conducting regular inspections, reporting any issues, and ensuring timely repairs.Timely Deliveries: Ensure time..."
147,Natural Sciences,Plumber,ADCO Management PLC,Addis Ababa,Office,"Position Title: PlumberDepartment:MaintenanceReport To: Facility Maintenance SupervisorVacancy No.: ENG/002/2025About Us:ADCO Management PLC is looking to hire a Plumber or a subsidiary project its operating MINAB Wellness Club, a flagship wellness project delivering exceptional spa, fitness, and holistic health services. MINAB is a sanctuary of rejuvenation and beauty, offering personalized treatments, state-of-the-art facilities, and a serene environment designed to refresh the body, mind, and spirit. With a f..."
148,Agriculture,Account Manager,ROEN MANUFACTURING PLC,Not Specified,Office,"Job ResponsibilitiesAssist with field research and communication in local coffee farmsSupport the coordination of sourcing, processing, and logisticsProvide translation and liaison support between Chinese and local partnersParticipate in quality control and preliminary training sessionsHelp collect and report data for agricultural and business insights"
149,Engineering,Facility Maintenance Manager,ADCO Management PLC,Addis Ababa,Office,"Position Title: Facility Maintenance ManagerDepartment:MaintenanceReport To: Director of OperationsVacancy No.: ENG/004/2025About Us:ADCO Management PLC is looking to hire a Facility Maintenance Manager for a subsidiary project its operating MINAB Wellness Club, a flagship wellness project delivering exceptional spa, fitness, and holistic health services. MINAB is a sanctuary of rejuvenation and beauty, offering personalized treatments, state-of-the-art facilities, and a serene environment designed to refresh th..."
150,Engineering,Electrotechnician,ADCO Management PLC,Addis Ababa,Office,"Position Title: ElectrotechnicianDepartment:MaintenanceReport To: Facility Maintenance SupervisorVacancy No.: ENG/005/2025About Us:ADCO Management PLC is looking to hire a Electrotechnician for a subsidiary project its operating MINAB Wellness Club, a flagship wellness project delivering exceptional spa, fitness, and holistic health services. MINAB is a sanctuary of rejuvenation and beauty, offering personalized treatments, state-of-the-art facilities, and a serene environment designed to refresh the body, mind,..."
151,Accounting and Finance,Finance Officer,ROEN MANUFACTURING PLC,Addis Ababa,Office,"Job ResponsibilitiesThe Finance Officer will be responsible for managing financial operations and ensuring the accuracy of financial records. The main duties include:Accounting and Bookkeeping: Maintain accurate and up-to-date financial records, including accounts payable and receivable, payroll, and general ledger entries.Financial Reporting: Prepare monthly, quarterly, and annual financial reports, including balance sheets, profit &amp; loss statements, and cash flow statements.Budget Management: Assist in the..."
152,Business and Administra...,Research and Development Manager,Ashewa Technology Solution S.C.,Addis Ababa,Office,"Company Overview:Ashewa Technology is a dynamic and growing digital solutions company dedicated to delivering innovative services and products that meet the evolving needs of our customers. We are seeking a talented and experienced Research &amp; Development Manager to lead our marketing strategies and research &amp; development initiatives. This role is critical in driving business growth, enhancing customer engagement, and supporting product innovation.Job Purpose:The R&amp;D Manager will be responsible for le..."
214,Banking and Insurance,Branch Manager I- for Nejo Branch,Dashen Bank S.C,Oromia,Office,"Branch Manager -I- for Nejo BranchDashen Bank Nekemte District is pleased to announce the following vacancy.Vacancy DetailsVacancy Number: DB_EX/ND/015/25Vacancy Posting End Date: 07/02/2025Job SummaryThe Branch Manager will plan, organize, lead, and control the banking activities of a branch office. S/he will ensure that operating procedures, rules, and code of practices of the Bank and regulators directives and country law are adhered to by all staff. S/he will also coordinate the sales/business development ef..."
235,Consultancy and Trainin...,Training Department Manager,Bless Agri Food Laboratory Service Plc,Oromia,Office,"1.GENERALJobTitle:Training Department ManagerReportsto:CEODepartmentTraining DepartmentBless Agri Food Laboratory Service Job Description2. Job Summary:UnderthegeneraldirectionoftheCEO,plans,organizes,coordinates,supervises,and executes the training service activities of the company; assesses and identifiestraining needs of the food and agricultural sectors; and ensures the development of training programs for selected areasoftrainingandtheprovisionoftherequiredhuman,materialandfinancialresourcesfortheir impleme..."
241,Legal,Program Manager,Consortium of Ethiopian Human Rights Organizations (CEHRO),Addis Ababa,Office,"Program Manager Job advertainmentJob Title:      Program ManagerJob category:   ProgramSupervises:    Program StaffsReport to:     Executive DirectorAbout CEHROConsortium of Ethiopian Human Rights Organizations (CEHRO) is a local Consortium of local CSOs registered on March 16th, 2018 by the Federal democratic Republic of Ethiopia Authority for Civil Societies Organizations (ACSO) in accordance with the new Civil Societies Proclamation No. 1113/2019 with registration number 3932. The objectives of the Organizati..."
242,Accounting and Finance,Storekeeper,MODETH Outsource PLC,Addis Ababa,Office,"Title:StorekeeperLocation:AddisAbaba,Job Type: Full TimeJob Summary:We are seeking a detail-oriented and organized Storekeeper to manage our inventory and storage operations. The ideal candidate will have a degree in accounting or a related field, with over 3years of experiencein store operationswithin thehotel, restaurant, or catering industry.Responsibilities:Collect,process,anddocumentallreceivedmerchandise,assistingwith inventory activities.Receiveandsortmerchandise fromsuppliersbypricingand location.Maintai..."
256,Legal,Political Officer,Your Employment Solution (YES),Addis Ababa,Office,"Austrian Embassy is looking for one (1) position of Political Officer in Ethiopia to support the Embassy's diplomatic team in delivering Embassy priorities on political and economic developments at national, regional and AU level.JOB DESCRIPTION – Political OfficerDirectsuperior:HeadofMissionorinhis/herabsenceChargéd’AffairsDirectlysubordinatedemployee(s):NoneStartingon:September2025oruponagreement(withprobationperiodof3months)AdministrativeUnit&amp;DutyStation:AustrianEmbassyinEthiopia(AddisAbaba)Maindutiesthat..."
267,"Admin, Secretarial, and...",Executive Driver,Milk and Honey,Addis Ababa,Office,"Job Summary:The Executive Driver is responsible for providing safe, punctual, and confidential transportation services to company executives. The role requires professionalism, discretion, and flexibility to accommodate dynamic schedules and extended hours. The Executive Driver ensures the assigned vehicle is maintained in excellent condition and adheres to all traffic and safety regulations.Key Duties &amp; Responsibilities:Drive executives to and from official appointments, meetings, and events.Ensure timely p..."
282,Accounting and Finance,Senior Taxation & Reporting Officer,(RIDE) Hybrid Designs PLC,Addis Ababa,Office,"Hybrid Designs PLC/RIDE is at the forefront of mobility technology and is dedicated to creating simple, practical, and efficient mobility systems in Ethiopia &amp; Africa. Our goal is to provide safe, reliable, and fast transportation services to Ethiopia &amp; Africa to improve the quality of life and connect people to opportunity. We want to hire highly energetic, Professional Top Tier Talented Candidates, If you are Energetic &amp; Professional you are welcome to join our professional team.Job SummaryThe Seni..."
284,Human Resource and Recr...,Senior Human Resource Officer,Milk and Honey,Addis Ababa,Office,"Job Summary:The Senior HR Officer is responsible for managing and executing advanced human resource functions, including recruitment, employee relations, performance management, training, and compliance with labor laws. This role supports the HR Manager in developing HR policies, implementing strategic initiatives, and ensuring smooth HR operations that align with the company’s goals. The Senior HR Officer acts as a key liaison between management and employees, fostering a positive work environment and promoting..."
286,Sales and Marketing,Junior Digital Marketing Specialist,The Row Residential Hotel,Addis Ababa,Office,"Job type: On- site-permanent (full time)Work location: Addis Ababa, EthiopiaApplicant Needed: Both, Male and FemaleExperience: 1 years of experienceSalary/ Compensation: MonthlyDeadline: July 12th 2025"
294,Accounting and Finance,Senior Accountant,The Row Residential Hotel,Addis Ababa,Office,"Job type: On- site-permanent (full time)Work location: Addis Ababa, EthiopiaApplicant Needed: Both, Male and FemaleExperience: 5 years of relevant accounting experienceSalary/ Compensation: MonthlyDeadline: July 12th 2025"
297,"Warehouse, Supply Chain...",Storekeeper,The Row Residential Hotel,Addis Ababa,Hybrid,"Company name: Adam construction plcJob title: StorekeeperJob type: On- site-permanent (full time)Work location: Addis Ababa, EthiopiaApplicant Needed: Only FemaleExperience: 3 years and aboveSalary/ Compensation: MonthlyDeadline: July 12th, 2025"
298,Engineering,MINERAL RESOURCE MANAGER,Kurmuk Gold Mine PLC,Benishangul Gumuz,Office,"BACKGROUNDKurmuk Gold Mine PLC (KGM), a subsidiary of Allied Gold Corp., a publicly listed company on the Toronto Stock Exchange (TSX), is engaged in gold mining operations across multiple countries, including Ethiopia, Mali, and Côte d'Ivoire. KGM operates with a Large-Scale Gold Mining License and holds three contiguous Exploration Licenses for its project in Ethiopia.The project is strategically located in western Ethiopia, approximately 750 km from Addis Ababa and about 90 km northwest of Assosa, within the ..."
299,Agriculture,Gender and livelihood Project Coordinator,The Brooke Hospital for Animals,Sidama,Hybrid,"Introduction:Brooke’s work across Africa, Asia and Latin America transforming the lives of animals and people in the communities we serve. We are part way through our 2022-25 global strategy.The Brooke has been working in Ethiopia since 2006 with a country office in Addis Ababa. The Brooke aims to improve the welfare of working equines, together with the livelihoods of people dependant on these animals. Currently we are working in 4 regions and 5 veterinary teaching institutions and with partnerships.Our vision ..."
300,"Logistics, Transport an...",Technical Activity Manager,Medecins Sans Frontieres-Belgium (MSF-Belgium),South West Ethiopia People's Region,Remote,"The main purposeof thePositionPlanning, coordinating, and monitoring all logistics activities in the project related to his/her technical activity (Electricity, Construction, WHS, Biomed, Workshop, Fleet, etc.) according to MSF protocols, standards and procedures in order to ensure an optimal running of the project.AccountabilitiesIn collaboration with the Project Coordinator and the Logistics Coordinator, planning, establishing and reviewing the activities for his area of logistics technical activity including ..."
301,"Logistics, Transport an...",Supply Chain Officer,Davis and Shirtliff Trading Ethiopia PLC,Addis Ababa,Office,"CompanyWe are a water and energy/power specialist company supplying equipment concentrated in five principal product sectors - pumps, water treatment, swimming pool, generators and solar. We import and distribute high quality equipment sourced from a number of manufacturers from Europe, Japan and Australia as well as Dayliff products.Position: Supply Chain OfficerReporting to: Supply and Logistics ManagerJob DescriptionThe responsibilities of the job will be: -Stores and inventory Management.Local and Import pur..."
377,Management,Company Archive Expert,Get-As International PLC,Addis Ababa,Office,"Position Title: Company Archive ExpertLocation: Addis AbabaEmployment Type: Full-timeAbout Us:Get-As International Plc. is a dynamic organization engaged in Real estate, Trading and Cross border transport. We are seeking a motivatedCompany Archive Expertto join our dynamic team.Job PurposeWe are seeking a highly organized and detail-oriented Company Archive Expert to manage, preserve, and ensure secure access to the organization’s records and archives. The ideal candidate will play a critical role in maintaining..."
378,Human Resource and Recr...,Human Resources Officer,Metropolitan Real Estate PLC,Addis Ababa,Office,"Position Title:Human Resources OfficerCategory: Human ResourceLocation: Addis Ababa, EthiopiaCareer Level: Mid-Level, above 2 - 5 YearsEmployment Type: Full-TimeSalary: NegotiableJob Overview:We are seeking a proficient and experienced Human Resources Professional to join our team. In this role, you will support the HR department in developing and implementing HR strategies, policies, and objectives.Key Duties and Responsibilities:Recruitment and StaffingCreate and post job advertisements on various platforms.Re..."
379,Accounting and Finance,Senior Accountant,Meti Trading PLC,Addis Ababa,Office,METI Trading Plcis seeking a confident and forward-thinking individual who brings a dynamic and innovative approach to their work. The ideal candidate should be passionate about driving impactful change through their experience in Accounting and be committed to building modern financial management systems.We hereby invite qualified and experienced candidates to apply for the following position. Only shortlisted applicants will be contacted.Position: Senior AccountantKey ResponsibilitiesUnder the general supervis...
380,FMCG and Manufacturing,General Manager,Talent Search - Ethiojobs,Addis Ababa,Office,"Company Profile:Our client is a well-established Ethiopian enterprise engaged in edible oil production, commodity export, branded consumer goods distribution, and equipment leasing. With decades of local experience and global outlook, the company is committed to operational excellence, sustainable growth, and innovation. It places strong emphasis on building long-term partnerships and delivering quality products and services that improve the everyday lives of people across the region. The company’s business mode..."
381,Social Sciences and Com...,Terms of Reference (TOR) for Work-Life Balance Training,All God’s Children International (AGCI),Not Specified,Office,"BackgroundAll Gods Children International (AGCI) is a U.S.-based nonprofit organization, legally registered in Ethiopia since June 2019. AGCI is an orphan care ministry answering God’s call to provide the love and care that every child deserves, and our vision is to empower local leaders to intervene for the millions of children currently living in institutions, creating pathways to faith, family, and independence because no child should be alone. As the world’s leading child advocacy and trauma disruptor organi..."
382,Health Care,Data Enumerators and Supervisors,Pulse techSoftware Design Development & implementation,Not Specified,Hybrid,"Data Enumerators and Supervisors Eight Regions in EthiopiaTarget Regions: Addis Ababa, Amhara, Benishangul Gumuz, Harari, Oromia, Sidama, Central Ethiopia, SomaliAbout the JobPosition 1:Qualitative Data enumeratorsPosition 2:Quantitative Data enumeratorsTotal Number of Enumerators Needed: 44(See breakdown by region below.)Number of Enumerators per Region Needed:Addis Ababa:3Amhara:10Benishangul Gumuz:3Harari:2Oromia:16Sidama:2Central Ethiopia:2Somali: 6Duration of Data Collection: 12 daysReports to: Field Coordi..."
383,FMCG and Manufacturing,IT Support,Talent Search - Ethiojobs,Addis Ababa,Office,"Company OverviewEstablished in 1997, this company is a major player in Ethiopia’s edible oil production, commodity exporting, and branded consumer goods distribution. It operates multiple business units, including a large-scale edible oil factory, a coffee export division, and a supply chain for oilseeds, pulses, and spices. The company also engages in equipment leasing and tender services, with operational centers across Ethiopia to ensure proximity to customers and suppliers. Committed to quality, reliability,..."
384,Health Care,Senior Health and Nutrition Officer,GOAL Ethiopia,Amhara,Hybrid,"JOB OPPORTUNITYInternal/ExternalReference No:REC/028/25Job title:Senir Health and Nutrion OfficerLocation: Amhara Region (Debrebrhan)Reports to:Project ManagerNumber of Posts2 (twoClosing date:July 06, 2025About GOALGOAL’s mission is to work with the most vulnerable communities to help them respond to and recover from humanitarian crises, and to assist them to build transcendent solutions to mitigate poverty and vulnerability.GOALis a non-for profit organizationthat has been working in Ethiopia for over 30 years..."
385,Automotive,Senior Auto-Electrician I,Tamrin International Trading PLC,Addis Ababa,Office,"About Tamrin International Trading PLC: A Company Where Your Career ThrivesTamrin is a dynamic and forward-thinking company operating across key sectors, including Automotive, Trading, Agriculture, Transportation, and Logistics. We're driven by a powerful mission: to achieve sustainable growth and maximize long-term value for all our stakeholders. This means we're not just focused on profit; we're committed to building a better future for our employees, customers, and the communities we serve.Main Duties and Res..."
386,Management,Auto Services Foreman,Tamrin International Trading PLC,Addis Ababa,Office,"About Tamrin International Trading PLC: A Company Where Your Career ThrivesTamrin is a dynamic and forward-thinking company operating across key sectors, including Automotive, Trading, Agriculture, Transportation, and Logistics. We're driven by a powerful mission: to achieve sustainable growth and maximize long-term value for all our stakeholders. This means we're not just focused on profit; we're committed to building a better future for our employees, customers, and the communities we serve.Main Duties and Res..."
387,Business and Administra...,"Director, Operation & Resource Mobilization Directorate",Akufada Microfinance Institution S.c,Amhara,Office,"BackgroundAKUFADA Micro Finance Institution S.C is a private microfinance institution established on October 12, 2015 E.C., to provide financial services to low- and medium-income groups. The institution invites qualified and experienced candidates to apply for the following position:Position: Director, Operation &amp; Resource Mobilization DirectorateJob Grade: 14Workplace: Debre BirhanSalary: As per the institution's scalePurpose of the RoleTo ensure sustainable growth and profitability of the MFI by providing..."
388,Accounting and Finance,Finance & Accounting Officer,ETF Import & Export,Addis Ababa,Office,"About UsCAREMENT is a fast-growing Ethiopian apparel manufacturing company committed to producing high-quality garments for both local and international markets. Established with a vision to contribute to Ethiopia’s textile and garment sector, CAREMENT was founded on the principles of quality product, innovation, best customer service, and socially responsible employment.Located strategically in Addis Ababa, Jemo Michael area, CAREMENT operates with a structured production system and a dedicated workforce that i..."
389,Human Resource and Recr...,HR & General Service Manager,ETF Import & Export,Addis Ababa,Office,"About UsCAREMENT is a fast-growing Ethiopian apparel manufacturing company committed to producing high-quality garments for both local and international markets. Established with a vision to contribute to Ethiopia’s textile and garment sector, CAREMENT was founded on the principles of quality product, innovation, best customer service, and socially responsible employment.Located strategically in Addis Ababa, Jemo Michael area, CAREMENT operates with a structured production system and a dedicated workforce that i..."
390,"Communications, Media a...",STORE MANAGER,ETF Import & Export,Addis Ababa,Office,"About UsCAREMENT is a fast-growing Ethiopian apparel manufacturing company committed to producing high-quality garments for both local and international markets. Established with a vision to contribute to Ethiopia’s textile and garment sector, CAREMENT was founded on the principles of quality product, innovation, best customer service, and socially responsible employment.Located strategically in Addis Ababa, Jemo Michael area, CAREMENT operates with a structured production system and a dedicated workforce that i..."
391,Sales and Marketing,Physical Marketing Officer,ETF Import & Export,Addis Ababa,Office,"About UsCAREMENT is a fast-growing Ethiopian apparel manufacturing company committed to producing high-quality garments for both local and international markets. Established with a vision to contribute to Ethiopia’s textile and garment sector, CAREMENT was founded on the principles of quality product, innovation, best customer service, and socially responsible employment.Located strategically in Addis Ababa, Jemo Michael area, CAREMENT operates with a structured production system and a dedicated workforce that i..."
392,"Communications, Media a...",DIGITAL MARKETING OFFICER,ETF Import & Export,Addis Ababa,Office,"About UsCAREMENT is a fast-growing Ethiopian apparel manufacturing company committed to producing high-quality garments for both local and international markets. Established with a vision to contribute to Ethiopia’s textile and garment sector, CAREMENT was founded on the principles of quality product, innovation, best customer service, and socially responsible employment.Located strategically in Addis Ababa, Jemo Michael area, CAREMENT operates with a structured production system and a dedicated workforce that i..."
393,Social Sciences and Com...,B2B Salesman,Globright Vehicle Import PLC,Addis Ababa,Office,"Job Description:Developing local distributor channels and establishing long-term cooperative relations;Explore areas of Addis Ababa and also sub regions out of Addis to develop new markets;Follow up with potential buyers to drive conversions;Gather customer feedback on products/services and report to management;Monitor competitor activities (pricing, promotions) to support sales strategies;Mastery of brand-specific models, specifications, and industry trends;Salary Level: 8000-10000 BIRR / month + high commission"
394,Social Sciences and Com...,Salesman For Showroom,Globright Vehicle Import PLC,Addis Ababa,Office,"Job Description:Receive vistitors and provide professional car purchase consultation；Identify customer needs (budget, usage, preferences) through targeted questions and recommend suitable vehicles;Follow up with potential buyers to drive conversions;Gather customer feedback on products/services and report to management;Monitor competitor activities (pricing, promotions) to support sales strategies;Mastery of brand-specific models, specifications, and industry trends;Salary Level: 6000-10000 BIRR / month + high c..."
395,"Admin, Secretarial, and...",Administrative Assistant,Globright Vehicle Import PLC,Addis Ababa,Office,"Job Description:Assist the manger to take care of the daily operation of the showroom;Organize and maintain sales contracts, vehicle records, customer files and other documentations;Manage daily paper work (e.g. quotations, purchase orders, stock status, sales data etc.);Assist with internal processes (expense reports, procurement requests, office supplies);Prepare sales performance reports (weekly/monthly summaries);Answer phone calls, record potential inquiries;Record staff attendance, schedule meetings, and t..."
396,"Retail, Wholesale and D...",Druggist/Store Officer,Droga Pharma PLC.,Addis Ababa,Office,"Job Overview:Druggist / Store Officer is responsible for the efficient, accurate, and compliant management of pharmaceutical products within Droga's warehouse or store. ensures the proper receipt, storage, inventory control, and dispatch of products, strictly adhering to quality standards and regulatory requirements. The Druggist / Store Officer will uphold the integrity of our product chain, contribute to our commitment for on-time delivery.Main ResponsibilitiesReceive incoming pharmaceutical products and mater..."
397,Business and Administra...,Facility / General Services Manager,EASE Engineering PLC,Addis Ababa,Office,"Job Title: Facility / General Services ManagerDepartment: Administration / OperationsReports To: Deputy General Manager /CCSOLocation: [Addis Ababa]Job Type: Full-time1. Job PurposeTo ensure the efficient and cost-effective management of all facilities and general services within the organization, including building maintenance, security, utilities, transportation, office supplies, and other support services. The role ensures a safe, functional, and well-maintained working environment for all employees and visit..."
